word,word_length_for_file,number_of_guess_for_file,number_of_incorrect_guesses_for_file,which_list_solved_word,letters_guessed_in_order,letters_guessed_incorrectly
seem,4,6,3,5000EnglishWordsFrequency.txt,"['e', 'd', 'l', 'k', 'm', 's']","{'d', 'k', 'l'}"
essence,7,4,0,5000EnglishWordsFrequency.txt,"['e', 'n', 's', 'c']",set()
active,6,6,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'v', 'c', 't']",set()
minority,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 't', 'r', 'n', 'y', 'm', 'o']",{'e'}
breathe,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'i', 'h', 't', 'b', 'a']",{'i'}
dilemma,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'm', 'd', 'a', 'i', 'l']",{'r'}
dumb,4,8,4,5000EnglishWordsFrequency.txt,"['e', 'o', 'a', 'i', 'u', 'b', 'd', 'm']","{'e', 'a', 'o', 'i'}"
their,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'd', 'h', 't', 'r', 'i']","{'d', 'a', 's'}"
producer,8,7,0,5000EnglishWordsFrequency.txt,"['e', 'r', 'o', 'd', 'u', 'c', 'p']",set()
neighbor,8,8,0,5000EnglishWordsFrequency.txt,"['e', 'i', 'h', 'b', 'r', 'g', 'n', 'o']",set()
thumb,5,10,5,5000EnglishWordsFrequency.txt,"['e', 'a', 'o', 'i', 'u', 't', 'r', 'h', 'b', 'm']","{'e', 'r', 'a', 'i', 'o'}"
amount,6,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'o', 'u', 'n', 'a', 't', 'm']","{'e', 'i'}"
veteran,7,6,0,5000EnglishWordsFrequency.txt,"['e', 'n', 't', 'v', 'r', 'a']",set()
guarantee,9,7,0,5000EnglishWordsFrequency.txt,"['e', 't', 'u', 'r', 'n', 'g', 'a']",set()
sexually,8,8,1,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'y', 'l', 'u', 'x', 's']",{'i'}
because,7,7,1,5000EnglishWordsFrequency.txt,"['e', 'r', 'c', 'u', 'b', 'a', 's']",{'r'}
peasant,7,8,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'r', 'a', 't', 'n', 'p', 's']","{'r', 'i'}"
fame,4,7,3,5000EnglishWordsFrequency.txt,"['e', 'a', 't', 'r', 's', 'm', 'f']","{'r', 't', 's'}"
harmony,7,9,2,5000EnglishWordsFrequency.txt,"['e', 'i', 'a', 'n', 'h', 'r', 'y', 'm', 'o']","{'e', 'i'}"
slave,5,8,3,5000EnglishWordsFrequency.txt,"['e', 'a', 's', 'h', 't', 'c', 'v', 'l']","{'h', 'c', 't'}"
